,0,1,2,3
market.amm.total_fee_withdrawn,37674.766576,7459.094894,4583.538669,149.40263
market.amm.total_liquidation_fee,11545.41938,1404.941422,624.92464,70.157471
market.amm.cumulative_funding_rate_long,0.715644783,178.98308607,21.479540061,0.002008374
market.amm.cumulative_funding_rate_short,0.509445108,178.522658587,21.441511922,0.002008374
market.amm.total_social_loss,4512659649,0,0,0
market.amm.ask_base_asset_reserve,1377437.878042594,801.536491431,5271.765694574,138125.171650558
market.amm.ask_quote_asset_reserve,1486214.25872833,1970.627499598,5514.888385102,138263.856817802
market.amm.bid_base_asset_reserve,1388266.92468245,802.272590183,5275.72199153,138402.928553037
market.amm.bid_quote_asset_reserve,1474621.183046382,1968.819415336,5510.75273577,137986.379014435
market.amm.last_oracle_normalised_price,22.78747,23432.245,1641.4,12.46398
market.amm.last_oracle_reserve_price_spread_pct,0.0,0.0,0.0,0.0
market.amm.last_bid_price_twap,22.77883,23404.098257,1637.837322,12.397196
market.amm.last_ask_price_twap,22.809579,23422.387817,1637.951027,12.412153
market.amm.last_mark_price_twap,22.794204,23413.243037,1637.894174,12.404674
market.amm.last_mark_price_twap5min,22.823317,23437.512565,1640.67962,12.462383
market.amm.last_update_slot,179792076,179792086,179792084,179792052
market.amm.last_oracle_conf_pct,0.001427,0.000292,0.000265,0.000482
market.amm.net_revenue_since_last_funding,-11.946332,1.296466,2.749881,3.350551
market.amm.last_funding_rate_ts,1677495603,1677495603,1677495648,1677495693
market.amm.funding_period,3600,3600,3600,3600
market.amm.order_step_size,0.1,0.0001,0.001,0.1
market.amm.order_tick_size,0.0001,0.1,0.01,0.001
market.amm.min_order_size,0.1,0.0005,0.001,1.0
market.amm.max_position_size,0.0,0.0,0.0,0.0
market.amm.volume24h,735364.450413,1178816.996092,324952.772565,121949.477656
market.amm.long_intensity_volume,18855.480742,53533.828049,13374.813694,1241.690329
market.amm.short_intensity_volume,20264.270166,16136.917036,13667.760257,4269.56043
market.amm.last_trade_ts,2023-02-27 11:39:46,2023-02-27 11:39:50,2023-02-27 11:39:49,2023-02-27 11:39:34
market.amm.mark_std,0.033541,46.956964,3.180473,0.074885
market.amm.oracle_std,9073,30770909,3350346,45835
market.amm.last_mark_price_twap_ts,2023-02-27 11:39:46,2023-02-27 11:39:50,2023-02-27 11:39:49,2023-02-27 11:39:34
market.amm.base_spread,0.00025,0.00125,0.0015,0.0025
market.amm.max_spread,0.02,0.0175,0.0175,0.04
market.amm.long_spread,0.01427,0.001213,0.00075,0.00125
market.amm.short_spread,0.001427,0.000625,0.00075,0.002765
market.amm.long_intensity_count,3,70,0,79
market.amm.short_intensity_count,0,0,3,0
market.amm.max_fill_reserve_fraction,100,100,100,100
market.amm.max_slippage_ratio,50,50,50,50
market.amm.curve_update_intensity,100,100,100,100
market.amm.amm_jit_intensity,100,100,100,100
market.amm.oracle_source,OracleSource.Pyth(),OracleSource.Pyth(),OracleSource.Pyth(),OracleSource.Pyth()
market.amm.last_oracle_valid,True,True,True,True
